Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,4.0265,4.09,4.098,4.0075,42.75K,-1.62%
12/30/2024,4.093,4.126,4.1485,4.0815,34.05K,-0.18%
12/27/2024,4.1005,4.126,4.126,4.0945,0.51K,-0.18%
12/26/2024,4.108,4.079,4.119,4.074,0.24K,0.46%
12/24/2024,4.089,4.0935,4.0935,4.0805,0.11K,0.63%
12/23/2024,4.0635,4.0855,4.0985,4.06,1.00K,-0.38%
12/20/2024,4.079,4.0715,4.076,4.059,0.70K,0.58%
12/19/2024,4.0555,4.0815,4.0905,4.05,0.28K,-1.93%
12/18/2024,4.1355,4.096,4.14,4.0675,0.09K,0.25%
12/17/2024,4.125,4.1735,4.1735,4.1205,0.31K,-1.09%
12/16/2024,4.1705,4.181,4.193,4.15,0.25K,-0.16%
12/13/2024,4.177,4.207,4.212,4.169,0.29K,-1.14%
12/12/2024,4.225,4.265,4.303,4.22,0.25K,-0.47%
12/11/2024,4.245,4.2725,4.3005,4.217,0.46K,-0.20%
12/10/2024,4.2535,4.254,4.255,4.2215,0.11K,-0.11%
12/09/2024,4.258,4.184,4.2725,4.172,0.46K,1.90%
12/06/2024,4.1785,4.1775,4.2335,4.174,0.04K,0.10%
12/05/2024,4.1745,4.176,4.197,4.169,0.44K,-0.20%
12/04/2024,4.183,4.171,4.192,4.164,0.12K,-0.04%
12/03/2024,4.1845,4.1225,4.201,4.115,0.16K,1.73%
12/02/2024,4.1135,4.1105,4.1305,4.0675,0.35K,-0.22%
11/29/2024,4.1225,4.124,4.146,4.1195,0.17K,0.13%
11/27/2024,4.117,4.121,4.1375,4.1165,0.54K,1.03%
11/26/2024,4.075,4.1,4.1335,4.0715,3.24K,-1.13%
11/25/2024,4.1215,4.13,4.146,4.1145,1.00K,0.48%
11/22/2024,4.102,4.1215,4.132,4.0785,0.54K,-0.87%
11/21/2024,4.138,4.161,4.1735,4.116,0.38K,-0.62%
11/20/2024,4.164,4.1775,4.184,4.1505,0.22K,0.26%
11/19/2024,4.153,4.148,4.18,4.11,0.46K,0.47%
11/18/2024,4.1335,4.0915,4.1425,4.084,0.21K,1.41%
11/15/2024,4.076,4.1055,4.19,4.076,0.62K,-0.71%
11/14/2024,4.105,4.092,4.1115,4.0265,1.09K,0.07%
11/13/2024,4.102,4.1565,4.1735,4.0865,0.35K,-1.25%
11/12/2024,4.154,4.2555,4.2555,4.15,0.31K,-2.10%
11/11/2024,4.243,4.3355,4.3355,4.24,0.30K,-1.75%
11/08/2024,4.3185,4.4415,4.4445,4.311,0.23K,-2.74%
11/07/2024,4.44,4.254,4.4535,4.254,0.43K,4.24%
11/06/2024,4.2595,4.4645,4.4645,4.24,0.46K,-4.94%
11/05/2024,4.481,4.4475,4.4945,4.4475,0.24K,0.98%
11/04/2024,4.4375,4.4045,4.4515,4.3935,0.25K,1.27%
11/01/2024,4.382,4.382,4.4145,4.367,0.28K,0.70%
10/31/2024,4.3515,4.36,4.3875,4.347,0.24K,-0.19%
10/30/2024,4.36,4.3745,4.385,4.3425,0.23K,-0.01%
10/29/2024,4.3605,4.368,4.43,4.3305,70.50K,-0.05%
10/28/2024,4.3625,4.3695,4.3845,4.333,41.31K,-0.18%
10/25/2024,4.3705,4.364,4.389,4.325,45.44K,0.44%
10/24/2024,4.3515,4.3335,4.3995,4.3225,65.85K,0.35%
10/23/2024,4.3365,4.3875,4.396,4.31,50.10K,-1.00%
10/22/2024,4.3805,4.359,4.407,4.343,41.33K,0.48%
10/21/2024,4.3595,4.3895,4.457,4.3475,57.28K,-0.57%
10/18/2024,4.3845,4.3335,4.413,4.326,46.73K,1.38%
10/17/2024,4.325,4.3705,4.4135,4.2915,58.52K,-0.97%
10/16/2024,4.3675,4.3415,4.395,4.3295,44.70K,0.69%
10/15/2024,4.3375,4.4035,4.4115,4.3295,58.64K,-1.55%
10/14/2024,4.406,4.452,4.471,4.385,68.15K,-1.95%
10/11/2024,4.4935,4.4475,4.499,4.418,53.34K,1.49%
10/10/2024,4.4275,4.414,4.454,4.381,61.82K,0.64%
10/09/2024,4.3995,4.474,4.5045,4.3735,63.95K,-1.28%
10/08/2024,4.4565,4.5595,4.581,4.4235,89.11K,-2.41%
10/07/2024,4.5665,4.573,4.609,4.515,56.02K,-0.16%
10/04/2024,4.574,4.5495,4.6065,4.536,57.82K,0.46%
10/03/2024,4.553,4.6645,4.6665,4.519,62.12K,-2.06%
10/02/2024,4.649,4.5735,4.667,4.5565,49.13K,1.31%
10/01/2024,4.589,4.5525,4.625,4.5325,61.24K,0.79%
