Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,"2,641.00","2,620.00","2,642.00","2,614.30",86.29K,0.87%
12/30/2024,"2,618.10","2,636.10","2,640.70","2,608.40",110.92K,-0.01%
12/27/2024,"2,618.40","2,639.70","2,639.70","2,612.10",0.64K,-0.83%
12/26/2024,"2,640.30","2,623.30","2,642.40","2,622.80",1.40K,0.67%
12/24/2024,"2,622.80","2,616.50","2,622.70","2,612.50",0.42K,0.28%
12/23/2024,"2,615.50","2,627.30","2,632.90","2,610.20",0.56K,-0.65%
12/20/2024,"2,632.50","2,597.70","2,640.70","2,595.70",0.51K,1.41%
12/19/2024,"2,596.00","2,586.00","2,625.00","2,585.90",0.90K,-1.70%
12/18/2024,"2,640.80","2,651.20","2,654.30","2,587.20",0.88K,-0.33%
12/17/2024,"2,649.60","2,657.20","2,662.50","2,634.30",0.63K,-0.28%
12/16/2024,"2,657.00","2,654.60","2,669.70","2,648.30",1.41K,-0.20%
12/13/2024,"2,662.40","2,690.20","2,702.10","2,650.60",1.07K,-1.21%
12/12/2024,"2,695.10","2,737.80","2,743.50","2,683.30",1.69K,-1.69%
12/11/2024,"2,741.50","2,708.80","2,743.80","2,700.30",3.82K,1.33%
12/10/2024,"2,705.60","2,669.80","2,708.80","2,669.80",1.41K,1.21%
12/09/2024,"2,673.30","2,654.50","2,687.00","2,637.50",0.96K,0.99%
12/06/2024,"2,647.10","2,642.40","2,655.00","2,629.50",0.80K,0.42%
12/05/2024,"2,636.10","2,661.90","2,667.30","2,634.50",1.67K,-1.06%
12/04/2024,"2,664.30","2,651.30","2,670.00","2,643.80",0.85K,0.32%
12/03/2024,"2,655.90","2,652.00","2,665.00","2,645.00",0.61K,0.36%
12/02/2024,"2,646.50","2,663.70","2,663.90","2,633.50",0.97K,-0.84%
11/29/2024,"2,669.00","2,649.70","2,678.10","2,631.80",1.35K,0.63%
11/27/2024,"2,652.30","2,646.40","2,670.70","2,641.10",2.27K,1.18%
11/26/2024,"2,621.30","2,626.20","2,642.70","2,605.30",177.86K,0.11%
11/25/2024,"2,618.50","2,716.90","2,723.20","2,616.60",305.34K,-3.45%
11/22/2024,"2,712.20","2,672.00","2,718.50","2,670.10",220.55K,1.39%
11/21/2024,"2,674.90","2,653.50","2,676.50","2,651.60",186.30K,0.87%
11/20/2024,"2,651.70","2,635.80","2,659.00","2,621.90",182.01K,0.79%
11/19/2024,"2,631.00","2,616.30","2,643.40","2,614.20",202.24K,0.63%
11/18/2024,"2,614.60","2,571.50","2,619.50","2,568.50",195.29K,1.73%
11/15/2024,"2,570.10","2,570.40","2,580.80","2,558.90",179.89K,-0.11%
11/14/2024,"2,572.90","2,578.10","2,585.80","2,541.50",266.16K,-0.53%
11/13/2024,"2,586.50","2,604.70","2,625.00","2,578.10",262.75K,-0.76%
11/12/2024,"2,606.30","2,625.70","2,633.40","2,595.70",282.77K,-0.44%
11/11/2024,"2,617.70","2,692.10","2,693.40","2,617.10",281.92K,-2.86%
11/08/2024,"2,694.80","2,713.60","2,717.80","2,687.30",233.11K,-0.41%
11/07/2024,"2,705.80","2,667.70","2,718.30","2,650.30",292.92K,1.10%
11/06/2024,"2,676.30","2,752.60","2,758.80","2,660.70",361.31K,-2.67%
11/05/2024,"2,749.70","2,746.00","2,759.50","2,733.40",151.43K,0.13%
11/04/2024,"2,746.20","2,743.50","2,757.50","2,739.40",145.25K,-0.11%
11/01/2024,"2,749.20","2,754.00","2,772.40","2,742.60",180.66K,0.00%
10/31/2024,"2,749.30","2,799.10","2,801.20","2,741.80",242.57K,-1.84%
10/30/2024,"2,800.80","2,786.90","2,801.80","2,782.40",191.55K,1.16%
10/29/2024,"2,768.80","2,741.90","2,773.20","2,741.90",0.85K,0.92%
10/28/2024,"2,743.60","2,739.40","2,745.60","2,725.80",0.57K,0.05%
10/25/2024,"2,742.20","2,735.40","2,747.20","2,716.90",0.26K,0.21%
10/24/2024,"2,736.50","2,717.40","2,743.30","2,717.40",0.34K,0.71%
10/23/2024,"2,717.10","2,748.90","2,758.50","2,709.90",0.65K,-1.10%
10/22/2024,"2,747.40","2,723.10","2,749.50","2,721.80",0.43K,0.76%
10/21/2024,"2,726.80","2,724.30","2,742.60","2,716.90",0.41K,0.32%
10/18/2024,"2,718.00","2,696.20","2,725.60","2,696.20",0.22K,0.83%
10/17/2024,"2,695.50","2,676.90","2,700.50","2,676.90",0.27K,0.60%
10/16/2024,"2,679.30","2,666.80","2,689.50","2,666.00",0.38K,0.46%
10/15/2024,"2,667.00","2,654.60","2,673.80","2,643.10",0.24K,0.50%
10/14/2024,"2,653.70","2,659.90","2,671.30","2,648.40",0.39K,-0.40%
10/11/2024,"2,664.40","2,634.40","2,666.80","2,634.40",0.31K,1.41%
10/10/2024,"2,627.40","2,614.80","2,636.90","2,608.80",0.88K,0.51%
10/09/2024,"2,614.10","2,628.80","2,630.60","2,612.00",0.77K,-0.36%
10/08/2024,"2,623.50","2,649.60","2,660.40","2,612.70",1.05K,-1.15%
10/07/2024,"2,654.00","2,658.80","2,666.60","2,646.00",0.39K,-0.08%
10/04/2024,"2,656.00","2,663.00","2,678.20","2,641.90",0.85K,-0.43%
10/03/2024,"2,667.40","2,668.30","2,670.70","2,646.50",0.65K,0.35%
10/02/2024,"2,658.10","2,671.10","2,672.40","2,653.30",0.34K,-0.76%
10/01/2024,"2,678.50","2,644.40","2,681.70","2,644.40",0.46K,1.16%
