Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,29.242,29.38,29.48,29.2,27.41K,-0.58%
12/30/2024,29.412,29.98,30.1,29.275,36.71K,-1.36%
12/27/2024,29.819,30.22,30.29,29.745,0.47K,-1.37%
12/26/2024,30.234,30.19,30.325,30.03,0.38K,0.27%
12/24/2024,30.152,30.2,30.23,29.995,0.11K,0.31%
12/23/2024,30.06,30.04,30.225,29.9,0.33K,0.75%
12/20/2024,29.837,29.33,30.07,29.165,0.25K,1.90%
12/19/2024,29.282,29.665,29.915,29.045,0.39K,-4.34%
12/18/2024,30.61,30.73,30.77,29.75,0.18K,-0.60%
12/17/2024,30.796,30.91,30.97,30.505,0.13K,-0.42%
12/16/2024,30.927,30.88,31.1,30.85,0.12K,0.11%
12/13/2024,30.892,31.325,31.385,30.7,0.12K,-1.87%
12/12/2024,31.482,32.88,32.97,31.395,0.35K,-4.09%
12/11/2024,32.823,32.54,32.96,32.3,0.27K,0.65%
12/10/2024,32.612,32.46,32.62,32.18,0.16K,0.40%
12/09/2024,32.481,31.46,32.81,31.29,0.09K,3.24%
12/06/2024,31.462,31.595,31.71,31.205,0.12K,0.18%
12/05/2024,31.406,31.815,31.815,31.38,0.03K,-1.20%
12/04/2024,31.786,31.36,31.925,31.03,0.13K,1.35%
12/03/2024,31.363,30.925,31.405,30.925,0.06K,2.02%
12/02/2024,30.742,30.785,30.9,30.425,0.06K,-0.79%
11/29/2024,30.987,30.595,31.19,30.595,0.03K,1.75%
11/27/2024,30.455,30.93,31.185,30.435,58.51K,-0.37%
11/26/2024,30.567,30.51,30.875,30.225,1.31K,0.56%
11/25/2024,30.396,31.7,31.7,30.295,1.46K,-3.49%
11/22/2024,31.495,31.0,31.615,30.98,0.47K,1.27%
11/21/2024,31.099,31.11,31.51,30.9,0.49K,-0.19%
11/20/2024,31.159,31.465,31.53,31.02,0.71K,-0.82%
11/19/2024,31.417,31.415,31.7,31.315,0.36K,0.12%
11/18/2024,31.379,30.53,31.505,30.53,0.60K,2.59%
11/15/2024,30.586,30.6,31.02,30.42,0.37K,-0.45%
11/14/2024,30.724,30.54,30.88,29.91,0.55K,-0.30%
11/13/2024,30.817,31.16,31.37,30.565,0.93K,-0.32%
11/12/2024,30.915,30.935,31.055,30.43,0.36K,0.48%
11/11/2024,30.768,31.575,31.75,30.69,0.97K,-2.65%
11/08/2024,31.607,32.31,32.315,31.5,0.33K,-1.27%
11/07/2024,32.013,31.44,32.39,31.2,0.56K,1.68%
11/06/2024,31.485,32.935,32.935,31.125,0.96K,-4.40%
11/05/2024,32.934,32.735,33.205,32.62,0.37K,0.52%
11/04/2024,32.765,32.72,33.155,32.6,0.21K,-0.22%
11/01/2024,32.837,32.95,33.38,32.65,0.58K,-0.35%
10/31/2024,32.953,34.01,34.05,32.835,0.36K,-3.74%
10/30/2024,34.234,34.74,34.78,33.79,0.73K,-0.60%
10/29/2024,34.441,33.845,34.725,33.765,75.73K,1.29%
10/28/2024,34.001,33.83,34.17,33.39,62.51K,0.66%
10/25/2024,33.779,33.85,34.195,33.26,69.50K,-0.05%
10/24/2024,33.795,33.875,34.48,33.42,79.66K,-0.13%
10/23/2024,33.839,35.055,35.07,33.61,100.74K,-3.43%
10/22/2024,35.041,34.01,35.07,33.97,86.07K,2.83%
10/21/2024,34.078,33.9,34.485,33.66,104.74K,2.54%
10/18/2024,33.234,31.875,33.97,31.855,104.14K,4.59%
10/17/2024,31.774,31.905,32.22,31.485,62.55K,-0.63%
10/16/2024,31.974,31.685,32.385,31.6,50.22K,0.69%
10/15/2024,31.756,31.4,31.89,30.95,53.23K,1.41%
10/14/2024,31.316,31.73,31.75,30.94,44.89K,-1.38%
10/11/2024,31.755,31.375,31.845,31.26,44.08K,1.65%
10/10/2024,31.24,30.71,31.4,30.57,55.40K,1.86%
10/09/2024,30.67,30.86,31.005,30.435,52.15K,0.23%
10/08/2024,30.6,31.945,32.02,30.345,96.75K,-4.39%
10/07/2024,32.004,32.45,32.595,31.655,55.63K,-1.20%
10/04/2024,32.394,32.29,33.225,31.755,86.41K,-0.22%
10/03/2024,32.464,32.1,32.485,31.65,56.40K,1.70%
10/02/2024,31.92,31.705,32.59,31.26,71.06K,0.56%
10/01/2024,31.742,31.42,32.145,31.38,61.99K,0.90%
