Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,19.26,19.11,19.35,19.04,36.35K,0.68%
12/30/2024,19.13,19.37,19.66,19.05,43.05K,-1.24%
12/27/2024,19.37,19.24,19.45,19.18,34.31K,0.57%
12/26/2024,19.26,19.51,19.54,19.17,26.01K,-1.43%
12/24/2024,19.54,19.6,19.82,19.5,22.29K,0.00%
12/23/2024,19.54,19.6,19.79,19.42,39.97K,0.15%
12/20/2024,19.51,19.48,19.6,19.3,44.75K,0.57%
12/19/2024,19.4,19.55,19.68,19.26,66.88K,-1.27%
12/18/2024,19.65,19.85,19.92,19.55,69.57K,-0.96%
12/17/2024,19.84,20.68,20.73,19.76,92.97K,-4.06%
12/16/2024,20.68,20.77,20.89,20.43,63.43K,-0.19%
12/13/2024,20.72,20.95,20.97,20.57,49.00K,-0.81%
12/12/2024,20.89,21.34,21.42,20.72,72.33K,-1.83%
12/11/2024,21.28,21.02,21.37,20.82,50.54K,1.14%
12/10/2024,21.04,21.5,21.52,20.82,76.70K,-2.14%
12/09/2024,21.5,21.81,21.9,21.35,48.99K,-1.42%
12/06/2024,21.81,21.3,21.86,21.12,67.44K,2.88%
12/05/2024,21.2,21.15,21.28,20.82,50.18K,-0.28%
12/04/2024,21.26,21.42,21.42,21.16,31.61K,-0.51%
12/03/2024,21.37,21.14,21.59,21.08,55.92K,1.42%
12/02/2024,21.07,21.09,21.26,20.7,71.36K,-0.05%
11/29/2024,21.08,21.65,21.69,21.01,56.38K,-2.81%
11/27/2024,21.69,21.68,22.0,21.54,48.12K,0.56%
11/26/2024,21.57,21.15,21.77,21.13,48.05K,1.99%
11/25/2024,21.15,21.4,21.43,21.11,45.40K,-0.98%
11/22/2024,21.36,21.41,21.61,21.26,30.44K,-0.09%
11/21/2024,21.38,21.7,21.77,21.26,35.75K,-1.25%
11/20/2024,21.65,21.97,22.08,21.49,30.72K,-1.68%
11/19/2024,22.02,22.25,22.42,21.78,45.97K,-0.81%
11/18/2024,22.2,21.59,22.32,21.59,59.76K,2.87%
11/15/2024,21.58,21.56,21.92,21.42,45.31K,0.09%
11/14/2024,21.56,21.17,21.82,20.86,58.92K,1.84%
11/13/2024,21.17,21.35,21.55,20.86,61.53K,-0.84%
11/12/2024,21.35,21.36,21.63,21.2,56.61K,-0.05%
11/11/2024,21.36,21.87,21.96,21.12,88.95K,-2.11%
11/08/2024,21.82,22.2,22.33,21.75,54.56K,-1.71%
11/07/2024,22.2,22.11,22.49,22.06,51.28K,0.77%
11/06/2024,22.03,21.75,22.1,21.6,50.96K,0.59%
11/05/2024,21.9,21.93,22.01,21.66,38.36K,-0.14%
11/04/2024,21.93,22.12,22.23,21.58,56.68K,-0.63%
11/01/2024,22.07,22.79,23.0,21.97,69.30K,-2.95%
10/31/2024,22.74,22.2,22.82,22.1,65.84K,2.34%
10/30/2024,22.22,22.16,22.43,21.86,48.14K,0.63%
10/29/2024,22.08,22.01,22.23,21.89,31.46K,0.55%
10/28/2024,21.96,22.08,22.16,21.67,38.72K,-0.81%
10/25/2024,22.14,22.25,22.32,21.92,39.76K,-0.27%
10/24/2024,22.2,22.44,22.58,22.12,40.91K,-0.63%
10/23/2024,22.34,22.0,22.43,21.85,57.45K,2.81%
10/22/2024,21.73,21.83,22.04,21.55,53.13K,-0.46%
10/21/2024,21.83,22.22,22.35,21.63,45.32K,-1.58%
10/18/2024,22.18,22.18,22.64,22.1,36.99K,0.09%
10/17/2024,22.16,22.07,22.32,21.71,50.99K,0.73%
10/16/2024,22.0,22.75,22.95,21.97,57.31K,-3.59%
10/15/2024,22.82,22.28,22.87,22.18,51.69K,1.92%
10/14/2024,22.39,22.23,22.58,22.03,36.94K,0.67%
10/11/2024,22.24,22.15,22.68,21.91,54.71K,0.36%
10/10/2024,22.16,22.08,22.35,21.86,39.83K,0.54%
10/09/2024,22.04,22.51,22.54,21.77,56.93K,-2.00%
10/08/2024,22.49,22.46,22.69,22.2,40.76K,-0.27%
10/07/2024,22.55,23.0,23.14,22.32,54.04K,-2.00%
10/04/2024,23.01,23.3,23.45,22.73,44.71K,-0.99%
10/03/2024,23.24,22.54,23.34,22.39,56.05K,2.47%
10/02/2024,22.68,23.0,23.17,22.46,48.87K,-1.26%
10/01/2024,22.97,22.5,23.07,22.24,55.55K,1.32%
