Date,Price,Open,High,Low,Vol.,Change %
12/31/2024,551.5,548.75,552.75,546.75,33.83K,0.59%
12/30/2024,548.25,547.25,554.75,544.5,46.87K,0.32%
12/27/2024,546.5,542.0,547.75,537.25,43.05K,1.02%
12/26/2024,541.0,534.75,544.0,533.75,28.46K,1.17%
12/24/2024,534.75,539.5,541.5,533.5,25.22K,-1.06%
12/23/2024,540.5,533.0,544.0,533.0,57.51K,1.41%
12/20/2024,533.0,532.5,537.25,529.25,55.08K,0.00%
12/19/2024,533.0,541.0,541.75,530.5,87.29K,-1.52%
12/18/2024,541.25,545.0,554.25,540.0,63.25K,-0.69%
12/17/2024,545.0,550.75,552.5,542.5,72.66K,-0.91%
12/16/2024,550.0,552.25,559.25,548.5,68.01K,4.46%
12/13/2024,526.5,526.5,526.5,526.5,0.01K,-2.27%
12/12/2024,538.75,535.0,538.25,533.25,0.02K,-0.87%
12/11/2024,543.5,544.0,552.5,544.0,0.06K,0.28%
12/10/2024,542.0,545.0,545.0,545.0,0.00K,0.14%
12/09/2024,541.25,541.25,541.25,541.25,0.01K,-0.23%
12/06/2024,542.5,544.75,546.0,544.75,0.03K,-0.78%
12/05/2024,546.75,537.5,537.5,535.5,0.02K,1.63%
12/04/2024,538.0,537.25,541.0,535.75,0.04K,0.23%
12/03/2024,536.75,539.0,544.75,539.0,0.05K,-0.14%
12/02/2024,537.5,536.25,539.5,531.25,0.06K,0.99%
11/29/2024,532.25,535.0,545.25,531.75,1.25K,-1.02%
11/27/2024,537.75,538.25,542.75,531.0,18.86K,-0.32%
11/26/2024,539.5,535.75,543.5,532.75,34.12K,0.70%
11/25/2024,535.75,544.75,547.5,529.5,30.01K,-1.56%
11/22/2024,544.25,548.0,550.5,542.5,36.56K,-0.82%
11/21/2024,548.75,552.5,557.5,547.75,34.97K,-0.68%
11/20/2024,552.5,549.5,555.25,543.5,41.28K,0.50%
11/19/2024,549.75,547.75,558.75,545.5,57.49K,0.46%
11/18/2024,547.25,541.0,551.0,536.75,68.14K,2.00%
11/15/2024,536.5,532.0,541.25,530.5,73.59K,1.18%
11/14/2024,530.25,540.0,544.25,528.0,89.91K,-1.99%
11/13/2024,541.0,553.25,553.75,536.25,113.24K,-2.04%
11/12/2024,552.25,564.75,568.75,549.0,105.73K,-2.34%
11/11/2024,565.5,572.75,572.75,551.75,125.71K,-1.22%
11/08/2024,572.5,572.5,578.75,566.5,112.15K,0.17%
11/07/2024,571.5,574.5,579.5,565.0,105.86K,-0.31%
11/06/2024,573.25,571.0,577.75,562.0,67.95K,0.13%
11/05/2024,572.5,569.5,574.5,565.25,58.64K,0.66%
11/04/2024,568.75,569.0,575.75,565.0,55.48K,0.13%
11/01/2024,568.0,571.5,577.75,564.25,54.16K,-0.44%
10/31/2024,570.5,572.75,573.75,563.5,61.59K,-0.48%
10/30/2024,573.25,571.25,580.5,564.0,68.18K,0.48%
10/29/2024,570.5,559.0,572.75,558.0,67.42K,2.10%
10/28/2024,558.75,564.25,571.5,557.75,61.30K,-1.80%
10/25/2024,569.0,581.25,585.5,566.0,75.99K,-2.15%
10/24/2024,581.5,579.0,584.25,575.0,49.88K,0.52%
10/23/2024,578.5,575.75,582.75,566.25,57.25K,0.43%
10/22/2024,576.0,574.0,578.75,565.75,49.87K,0.66%
10/21/2024,572.25,572.75,584.25,570.75,74.09K,-0.09%
10/18/2024,572.75,590.0,595.5,570.25,82.03K,-2.84%
10/17/2024,589.5,584.25,591.75,576.25,75.30K,0.77%
10/16/2024,585.0,581.25,587.5,575.25,57.51K,0.95%
10/15/2024,579.5,585.5,586.75,578.0,69.76K,-0.98%
10/14/2024,585.25,598.5,601.0,584.25,55.97K,-2.30%
10/11/2024,599.0,603.75,611.25,592.5,75.59K,-0.79%
10/10/2024,603.75,600.75,609.25,598.5,60.99K,0.79%
10/09/2024,599.0,594.75,604.75,594.25,55.19K,0.71%
10/08/2024,594.75,593.75,599.0,587.5,59.04K,0.38%
10/07/2024,592.5,590.25,595.25,584.0,55.58K,0.47%
10/04/2024,589.75,603.75,604.25,587.0,76.33K,-2.28%
10/03/2024,603.5,614.25,617.25,601.25,78.99K,-1.91%
10/02/2024,615.25,596.25,617.25,596.25,116.43K,2.71%
10/01/2024,599.0,584.0,602.5,577.0,84.58K,2.57%
